Frag	HORabbr	HVar	PVar	Mon	Type	Class	Num
chr10_ABBA01020701.1	S1C10H1L	var1	var1	1	A	J1	1
chr10_ABBA01020701.1	S1C10H1L	var1	var1	2	B	J2	2
chr10_ABBA01020701.1	S1C10H1L	var1	var1	3	A	J1	3
chr10_ABBA01020701.1	S1C10H1L	var1	var1	4	B	J2	4
chr10_ABBA01020701.1	S1C10H1L	var1	var1	5	A	J1	5
chr10_ABBA01020701.1	S1C10H1L	var1	var1	6	B	J2	6
chr10_ABBA01020701.1	S1C10H1L	var1	var1	7	A	J1	7
chr10_ABBA01020701.1	S1C10H1L	var1	var1	8	A	J2	8
chr10_ABBA01020701.1	S1C10H1L	var2	var1	1	A	J1	1
chr10_ABBA01020701.1	S1C10H1L	var2	var1	2	B	J2	6
chr10_ABBA01020701.1	S1C10H1L	var2	var1	3	A	J1	7
chr10_ABBA01020701.1	S1C10H1L	var2	var1	4	B	j2	8
chr10_ABBA01020701.1	S1C10H1L	var3	var1	1	Q	j1	7
chr10_ABBA01020701.1	S1C10H1L	var3	var1	2	B	J2	8
